country_code,year_data,incgroup_historical,fcv,ssa_subregion_code,year,income_group,income_group_code
AGO,2001,Low income,Yes,Eastern and Southern Africa,2001,Low income,LIC
BDI,2016,Low income,Yes,Eastern and Southern Africa,2016,Low income,LIC
BEN,1991,Low income,,Western and Central Africa,1991,Low income,LIC
BFA,2017,Low income,No,Western and Central Africa,2017,Low income,LIC
BWA,1990,Lower middle income,,Eastern and Southern Africa,1990,Lower middle income,LMIC
CAF,1994,Low income,,Western and Central Africa,1994,Low income,LIC
CIV,2015,Lower middle income,Yes,Western and Central Africa,2015,Lower middle income,LMIC
CMR,2022,Lower middle income,Yes,Western and Central Africa,2022,Lower middle income,LMIC
COD,1989,Low income,,Eastern and Southern Africa,1989,Low income,LIC
COG,2024,Lower middle income,Yes,Western and Central Africa,2024,Lower middle income,LMIC
COM,2023,Lower middle income,Yes,Eastern and Southern Africa,2023,Lower middle income,LMIC
CPV,2000,Lower middle income,No,Western and Central Africa,2000,Lower middle income,LMIC
ERI,1994,Low income,,Eastern and Southern Africa,1994,Low income,LIC
ETH,1998,Low income,No,Eastern and Southern Africa,1998,Low income,LIC
GAB,2004,Upper middle income,No,Western and Central Africa,2004,Upper middle income,UMIC
GHA,2002,Low income,No,Western and Central Africa,2002,Low income,LIC
GIN,1994,Low income,,Western and Central Africa,1994,Low income,LIC
GMB,2014,Low income,Yes,Western and Central Africa,2014,Low income,LIC
GNB,2011,Low income,Yes,Western and Central Africa,2011,Low income,LIC
GNQ,2010,High income,No,Western and Central Africa,2010,High income,HIC
KEN,1991,Low income,,Eastern and Southern Africa,1991,Low income,LIC
LBR,1995,Low income,,Western and Central Africa,1995,Low income,LIC
LSO,1997,Low income,,Eastern and Southern Africa,1997,Low income,LIC
MDG,2019,Low income,No,Eastern and Southern Africa,2019,Low income,LIC
MLI,1995,Low income,,Western and Central Africa,1995,Low income,LIC
MOZ,2009,Low income,No,Eastern and Southern Africa,2009,Low income,LIC
MRT,2007,Low income,No,Western and Central Africa,2007,Low income,LIC
MUS,2019,High income,No,Eastern and Southern Africa,2019,High income,HIC
MWI,1994,Low income,,Eastern and Southern Africa,1994,Low income,LIC
NAM,1992,Lower middle income,,Eastern and Southern Africa,1992,Lower middle income,LMIC
NER,1991,Low income,,Western and Central Africa,1991,Low income,LIC
NGA,1992,Low income,,Western and Central Africa,1992,Low income,LIC
RWA,2024,Low income,No,Eastern and Southern Africa,2024,Low income,LIC
SDN,2018,Lower middle income,Yes,Eastern and Southern Africa,2018,Lower middle income,LMIC
SEN,2022,Lower middle income,No,Western and Central Africa,2022,Lower middle income,LMIC
SLE,2019,Low income,No,Western and Central Africa,2019,Low income,LIC
SOM,1998,Low income,Yes,Eastern and Southern Africa,1998,Low income,LIC
SSD,2004,Lower middle income,No,Eastern and Southern Africa,2004,Lower middle income,LMIC
STP,1990,Low income,,Eastern and Southern Africa,1990,Low income,LIC
SWZ,2022,Lower middle income,No,Eastern and Southern Africa,2022,Lower middle income,LMIC
SYC,2020,High income,No,Eastern and Southern Africa,2020,High income,HIC
TCD,2020,Low income,Yes,Western and Central Africa,2020,Low income,LIC
TGO,1998,Low income,No,Western and Central Africa,1998,Low income,LIC
TZA,2006,Low income,No,Eastern and Southern Africa,2006,Low income,LIC
UGA,1987,Low income,,Eastern and Southern Africa,1987,Low income,LIC
ZAF,2014,Upper middle income,No,Eastern and Southern Africa,2014,Upper middle income,UMIC
ZMB,2007,Low income,No,Eastern and Southern Africa,2007,Low income,LIC
ZWE,1999,Low income,No,Eastern and Southern Africa,1999,Low income,LIC
ABW,2024,High income,No,,2024,High income,HIC
ABW,1987,High income,,,1987,High income,HIC
ABW,2019,High income,No,,2019,High income,HIC
ABW,1995,High income,,,1995,High income,HIC
ABW,1992,Upper middle income,,,1992,Upper middle income,UMIC
ABW,2013,High income,No,,2013,High income,HIC
ABW,2021,High income,No,,2021,High income,HIC
ABW,2000,High income,No,,2000,High income,HIC
ABW,2003,High income,No,,2003,High income,HIC
ABW,2004,High income,No,,2004,High income,HIC
ABW,1994,High income,,,1994,High income,HIC
ABW,2006,High income,No,,2006,High income,HIC
ABW,2011,High income,No,,2011,High income,HIC
ABW,2017,High income,No,,2017,High income,HIC
ABW,2008,High income,No,,2008,High income,HIC
ABW,1991,Upper middle income,,,1991,Upper middle income,UMIC
ABW,2010,High income,No,,2010,High income,HIC
ABW,2001,High income,No,,2001,High income,HIC
ABW,1993,Upper middle income,,,1993,Upper middle income,UMIC
ABW,1998,High income,No,,1998,High income,HIC
ABW,2005,High income,No,,2005,High income,HIC
ABW,1997,High income,,,1997,High income,HIC
ABW,1999,High income,No,,1999,High income,HIC
ABW,2012,High income,No,,2012,High income,HIC
ABW,1989,High income,,,1989,High income,HIC
ABW,2007,High income,No,,2007,High income,HIC
ABW,1996,High income,,,1996,High income,HIC
ABW,1990,High income,,,1990,High income,HIC
ABW,2018,High income,No,,2018,High income,HIC
ABW,1988,High income,,,1988,High income,HIC
ABW,2020,High income,No,,2020,High income,HIC
ABW,2002,High income,No,,2002,High income,HIC
ABW,2022,High income,No,,2022,High income,HIC
ABW,2009,High income,No,,2009,High income,HIC
ABW,2023,High income,No,,2023,High income,HIC
ABW,2016,High income,No,,2016,High income,HIC
ABW,2014,High income,No,,2014,High income,HIC
ABW,2015,High income,No,,2015,High income,HIC
AFG,1991,Low income,,,1991,Low income,LIC
AFG,1998,Low income,Yes,,1998,Low income,LIC
AFG,2014,Low income,Yes,,2014,Low income,LIC
AFG,2000,Low income,Yes,,2000,Low income,LIC
AFG,2010,Low income,Yes,,2010,Low income,LIC
AFG,2002,Low income,Yes,,2002,Low income,LIC
AFG,1990,Low income,,,1990,Low income,LIC
AFG,1994,Low income,,,1994,Low income,LIC
AFG,1996,Low income,,,1996,Low income,LIC
AFG,2001,Low income,Yes,,2001,Low income,LIC
AFG,2020,Low income,Yes,,2020,Low income,LIC
AFG,2009,Low income,Yes,,2009,Low income,LIC
AFG,2017,Low income,Yes,,2017,Low income,LIC
AFG,1995,Low income,,,1995,Low income,LIC
AFG,2024,Low income,Yes,,2024,Low income,LIC
AFG,2021,Low income,Yes,,2021,Low income,LIC
AFG,1987,Low income,,,1987,Low income,LIC
AFG,2018,Low income,Yes,,2018,Low income,LIC
AFG,2005,Low income,Yes,,2005,Low income,LIC
